date,open,high,low,close,volume,turn
2012-5-3,2679.52,2693.87,2675.81,2691.52,59361088,72337334272
2012-5-4,2689.62,2716.03,2677.13,2715.87,63218088,73699549184
2012-5-7,2699.45,2717.78,2694.32,2717.78,68547312,82715672576
2012-5-8,2717.4,2717.83,2683.56,2709.12,63110840,73744498688
2012-5-9,2685.18,2685.18,2655.32,2657.51,58400284,69482577920
2012-5-10,2657.87,2667.67,2649.37,2657.21,46962576,54056951808
2012-5-11,2652.31,2666.57,2636.52,2636.91,41006144,49392898048
2012-5-14,2653.81,2656.28,2613.35,2615.53,52082484,60331294720
2012-5-15,2597.63,2618.17,2591.6,2617.37,45767272,51374759936
2012-5-16,2610.15,2612.62,2574.08,2574.64,43280272,47863537664
2012-5-17,2577.96,2619.59,2571.2,2613.93,43728388,49203908608
2012-5-18,2595.55,2603.18,2567.3,2573.98,43422124,46907510784
2012-5-21,2572.37,2604.22,2563.97,2587.23,38602088,44300406784
2012-5-22,2598.16,2627.6,2597.6,2627.53,42773528,49392414720
2012-5-23,2621.79,2635.78,2598.29,2616.87,43719532,52563402752
2012-5-24,2613.09,2630.4,2588.21,2595.26,42844064,50064441344
2012-5-25,2595.26,2602.16,2565.64,2573.1,39273004,41420083200
2012-5-28,2562.6,2614.85,2545.34,2614.68,56339276,58412343296
2012-5-29,2615.14,2658.26,2612.56,2650.85,72135640,78681505792
2012-5-30,2646.37,2655.15,2636.52,2642.26,51855436,56976277504
2012-5-31,2623.15,2645.59,2617.23,2632.04,44107468,49875042304
2012-6-1,2633.6,2653.86,2623.29,2633,44191056,53843402752
2012-6-4,2598.73,2608.32,2558.91,2559.03,52478504,60615569408
2012-6-5,2565.18,2573.88,2548.76,2558.84,37779912,43553304576
2012-6-6,2564.23,2573.74,2547.33,2557.39,33857696,41316909056
2012-6-7,2579.42,2584.04,2536.26,2542.17,34841184,42053001216
2012-6-8,2558.84,2559.12,2520.4,2524.33,43856424,47638007808
2012-6-11,2529.6,2565.42,2523.77,2558.27,40098260,43449655296
2012-6-12,2543.77,2553.91,2529.95,2540.17,37936676,40259911680
2012-6-13,2546.79,2581.11,2539.62,2580.63,45014568,51291271168
2012-6-14,2573.33,2584.71,2558.57,2560.41,40247936,46331822080
2012-6-15,2565.18,2580.16,2538.57,2568.05,42786080,48868302848
2012-6-18,2576.62,2593.22,2572.99,2581.21,35693628,40852451328
2012-6-19,2577.36,2577.36,2556.1,2558.62,32700552,37020041216
2012-6-20,2563.63,2570.65,2549.43,2552.61,29850640,33573670912
2012-6-21,2547.05,2547.05,2502.41,2512.18,35396732,38607958016
2012-6-25,2501.15,2501.15,2455.01,2456.52,40106736,42503507968
2012-6-26,2442.56,2465.12,2434.63,2454.91,31734008,33896511488
2012-6-27,2452.66,2470.76,2444.34,2447.2,30007552,31437596672
2012-6-28,2451.65,2459.18,2425.24,2425.73,30543112,34418794496
2012-6-29,2418.86,2462.82,2417.49,2461.61,37994940,40976539648
2012-7-2,2473.55,2473.97,2452.99,2465.24,40510080,45651476480
2012-7-3,2464.85,2490.55,2457.45,2468.72,38693352,45004652544
2012-7-4,2474.53,2481.34,2456,2464.91,34452144,37837660160
2012-7-5,2450.3,2450.3,2420,2430.37,34726144,35946205184
2012-7-6,2435.06,2477.23,2420.36,2472.61,49610604,56601780224
2012-7-9,2455.88,2470.21,2414.95,2416.04,49223304,54601732096
2012-7-10,2411,2426.53,2402.37,2406.71,35549984,38539026432
2012-7-11,2402.17,2427.8,2402.14,2425.57,37624312,39851892736
2012-7-12,2420.04,2460.56,2404.58,2449.17,56717692,65137537024
2012-7-13,2441.01,2467.99,2438.98,2450.62,36725256,42013581312
2012-7-16,2452.59,2452.59,2399.61,2399.73,42771872,45844881408
2012-7-17,2391.89,2421.92,2391.28,2414.2,33424328,38285443072
2012-7-18,2412.06,2420.78,2373.64,2414.34,41751788,44325490688
2012-7-19,2407.43,2444.06,2401.29,2424.32,46949052,47704039424
2012-7-20,2415.71,2423.8,2392.17,2398.46,37619752,36683624448
2012-7-23,2379.88,2379.88,2357.51,2365.42,32390368,33178929152
2012-7-24,2353.22,2392.35,2352.8,2375.99,30310080,31149105152
2012-7-25,2368.37,2381.04,2357.47,2360.08,24896500,25730598912
2012-7-26,2360.12,2374.87,2344.7,2347.49,31314094,31326394368
2012-7-27,2353.93,2364.98,2341.29,2349.11,31090524,33048182784
2012-7-30,2350.78,2367.03,2334,2335.79,30484852,29907972096
2012-7-31,2336.87,2350.07,2329.51,2332.91,32099724,31196332032
2012-8-2,2354.07,2358.56,2325.61,2334.87,31516160,29751166976
2012-8-3,2340.25,2354.15,2329.92,2353.74,29769784,31106947072
2012-8-6,2350.12,2388.36,2348.12,2385.61,41820664,43686686720
2012-8-7,2383.26,2390.78,2379.45,2388.87,38285488,40403709952
2012-8-8,2390.96,2405.17,2382.82,2389.8,37810452,41340862464
2012-8-9,2388.42,2412.13,2378.85,2411.7,35658952,43256098816
2012-8-10,2409.93,2413.41,2395.9,2399.75,34702996,40699224064
2012-8-13,2394.5,2394.5,2350.81,2351.92,44783544,46249676800
2012-8-14,2352.65,2357.85,2324.9,2357.02,39850064,42404687872
2012-8-15,2350.02,2350.02,2330.14,2331.61,30580176,30332555264
2012-8-16,2327.9,2335.39,2317.06,2319.66,25902904,27076003840
2012-8-17,2318.42,2322.88,2295.15,2313.48,26065716,28629966848
2012-8-20,2294.89,2307.4,2279.95,2301.79,27402032,27174817792
2012-8-21,2301.92,2327.37,2296.55,2313.7,34895100,34757869568
2012-8-22,2315.13,2317.37,2285.76,2295.59,31708412,31547518976
2012-8-23,2298.17,2311.64,2285.37,2302.2,31335342,33789603840
2012-8-24,2295.67,2299.3,2274.57,2275.67,31869592,32986337280
2012-8-27,2268.49,2268.49,2228.14,2228.2,37386192,35384156160
2012-8-28,2226.89,2250.6,2222,2238.4,33773616,30331076608
2012-8-29,2230.2,2240.11,2214.42,2214.81,29010648,27396186112
2012-8-30,2204.52,2223.2,2188.72,2211.37,35491312,33867206656
2012-8-31,2205.57,2218.87,2203.12,2204.87,25964986,23340892160
2012-9-3,2201.12,2236.56,2197.71,2228.37,38548592,35299176448
2012-9-4,2231.72,2234.87,2199.51,2204.4,34852688,33220204544
2012-9-5,2199.74,2209.54,2186.96,2199.87,34751824,30445168640
2012-9-6,2204.43,2218.67,2199.86,2217.82,31695884,26873315328
2012-9-7,2233.9,2341.52,2233.9,2317.17,94529760,84302249984
2012-9-10,2320.56,2334.5,2313.57,2326.66,65330552,63252037632
2012-9-11,2316.53,2316.53,2294.82,2311.88,46260720,43389767680
2012-9-12,2325.92,2337.2,2298.3,2320.07,49622520,46485176320
2012-9-13,2316.67,2325.53,2298.37,2298.46,42049848,38023999488
2012-9-14,2324.01,2332.41,2298.83,2315.54,61571816,55438614528
2012-9-17,2312.05,2314.99,2258.17,2258.71,48984736,43753168896
2012-9-18,2249.42,2253.13,2228.04,2235.24,33228696,30171496448
2012-9-19,2237.22,2249.24,2229.49,2246.24,34349704,32607010816
2012-9-20,2236.18,2236.18,2194.22,2195.95,42545780,38385856512
2012-9-21,2190.33,2217.47,2186.53,2199.06,38120592,34043367424
2012-9-24,2183.97,2225.8,2172.87,2215.52,37501688,33608761344
2012-9-25,2209.98,2225.33,2202.37,2210.14,27877020,26677063680
2012-9-26,2208.9,2216.82,2181.08,2184.88,27454626,24918917120
2012-9-27,2186,2266.3,2185.77,2251.72,53016900,48210579456
2012-9-28,2235.06,2297.03,2234.32,2293.11,57875824,54431465472
2012-10-8,2291.96,2305.17,2258.11,2270.05,35534424,33915840512
2012-10-9,2281.75,2327.73,2281.75,2320.15,52548888,48330194944
2012-10-10,2314.59,2325.75,2304.61,2324.12,42686240,37873995776
2012-10-11,2315.89,2321.35,2300.92,2302.53,41300656,36172963840
2012-10-12,2311.28,2332.14,2287.01,2304.53,36874144,33205903360
2012-10-15,2306.01,2307.87,2278.46,2294.86,28651746,28569022464
2012-10-16,2293.24,2315.45,2287.59,2298.15,32059680,32705140736
2012-10-17,2307.36,2312.16,2280.82,2300.8,33349408,31270899712
2012-10-18,2307.49,2341.12,2305.87,2336.08,50615100,45050294272
2012-10-19,2335.11,2342.53,2328.73,2332.47,35927732,33173030912
2012-10-22,2320.47,2347.89,2315.89,2341.59,34368288,32815273984
2012-10-23,2340.88,2344.04,2309.25,2312.08,37221272,33716877312
2012-10-24,2303.39,2321.42,2302.16,2307.78,37542444,30392377344
2012-10-25,2306.73,2322.91,2288.6,2291.24,44351532,33183528960
2012-10-26,2291.31,2293.17,2237.06,2247.9,40900520,34530066432
2012-10-29,2241.8,2248.13,2227.64,2235.85,27581324,25328650240
2012-10-30,2236.32,2257.95,2231.78,2239.87,34083124,29516627968
2012-10-31,2241.42,2256.09,2233.67,2254.82,37169796,30634360832
2012-11-1,2256.61,2305.62,2256.4,2297.87,50761728,45602140160
2012-11-2,2297.89,2309.66,2284.72,2306.77,39833288,34893877248
2012-11-5,2302.74,2318.23,2290.13,2301.87,39510372,33663152128
2012-11-6,2301.98,2304.05,2260.51,2292.21,39280628,34473381888
2012-11-7,2288.76,2300.88,2277.02,2287.51,33067404,30278449152
2012-11-8,2269.58,2275.39,2245.39,2245.4,35426476,30411864064
2012-11-9,2241.76,2252.2,2235.23,2240.91,30506968,24374278144
2012-11-12,2242.96,2254.7,2232.74,2251.85,34721684,29040822272
2012-11-13,2250.84,2250.84,2208.72,2212.43,34083704,28818452480
2012-11-14,2213.09,2225.12,2206,2223.11,26758790,23592323072
2012-11-15,2210.75,2220.99,2193.52,2193.62,28319152,23778695168
2012-11-16,2189.51,2191.61,2162.98,2177.24,30247786,26118246400
2012-11-19,2175.17,2176.49,2149.54,2174.99,26978666,26737221632
2012-11-20,2180.21,2184.33,2163.53,2164.87,23948916,22999195648
2012-11-21,2165.4,2195.46,2151.37,2194.89,30508482,27121950720
2012-11-22,2181.17,2185.58,2169.65,2177.55,22912352,21536153600
2012-11-23,2184.4,2202.47,2179.73,2192.67,28667492,26307629056
2012-11-26,2187.24,2191.36,2172.1,2175.6,24742696,22231498752
2012-11-27,2168.59,2173.46,2150.22,2150.63,31946746,26149734400
2012-11-28,2142.5,2144.8,2126.03,2129.15,30009340,24423321600
2012-11-29,2128.8,2140.87,2114.48,2115.67,29670624,24016257024
2012-11-30,2114.24,2142.86,2109.96,2139.65,36406912,28552065024
2012-12-3,2136.7,2152.61,2108.14,2108.85,40186760,34173652992
2012-12-4,2104.92,2135.65,2102.13,2131.47,36225916,31732336640
2012-12-5,2128.38,2219.09,2126.79,2207.87,82487104,69109047296
2012-12-6,2205.61,2216.98,2191.23,2203.6,48574688,42758569984
2012-12-7,2203.88,2250.53,2198.11,2246.76,76169744,64996499456
2012-12-10,2254.91,2276.28,2250.43,2271.05,73375472,61399773184
2012-12-11,2263.21,2274.99,2254.3,2258.5,51468704,45087981568
2012-12-12,2257.73,2273.21,2247.95,2267.77,45006456,39182536704
2012-12-13,2260.6,2266.72,2242.56,2242.63,41942100,36665683968
2012-12-14,2245.63,2357.11,2245.63,2355.86,110892560,93934739456
2012-12-17,2359.2,2380,2358.65,2366.7,94088192,85000822784
2012-12-18,2361.09,2398.62,2347.08,2368.12,85784848,78802837504
2012-12-19,2362.8,2387.13,2358.03,2371.11,63292528,61140746240
2012-12-20,2361.32,2391.91,2346.55,2384.82,65655464,63028690944
2012-12-21,2386.37,2414.22,2365.03,2372,68714160,66887708672
2012-12-24,2368.01,2396.73,2367.04,2381.22,53087004,54121541632
2012-12-25,2373.87,2459.3,2365.4,2448.39,95502352,89877774336
2012-12-26,2445.99,2458.01,2441.63,2457.62,71591824,68406243328
2012-12-27,2464.78,2479.79,2443.67,2444.59,73255064,69327601664
2012-12-28,2448.08,2481.59,2444.37,2480.05,67166320,66053287936
2012-12-31,2485.56,2522.95,2485.56,2522.95,82002296,81149083648
2013-1-4,2551.81,2558.53,2498.88,2524.4,97988184,95579242496
2013-1-7,2518.05,2545.97,2511.6,2535.99,75167992,73167511552
2013-1-8,2534.64,2540.51,2502.49,2525.33,71837104,76498059264
2013-1-9,2518.1,2534.24,2504.3,2526.12,70231168,74233593856
2013-1-10,2525.59,2553.35,2513.73,2530.57,71085864,71159046144
2013-1-11,2533.5,2539.79,2473.7,2483.23,74239176,72775925760
2013-1-14,2474.17,2583.62,2474,2577.73,93554088,96853475328
2013-1-15,2579.12,2605.4,2576.91,2595.86,98620808,1.01E+11
2013-1-16,2591.36,2600.09,2540.52,2577.09,93536080,95564996608
2013-1-17,2570.71,2575.06,2539.66,2552.76,69915240,71716118528
2013-1-18,2568.68,2607.45,2553.45,2595.43,77940304,77435166720
2013-1-21,2605.64,2611.2,2582.64,2610.89,84133744,85357445120
2013-1-22,2610.38,2620.03,2578.17,2596.89,105766272,1.02E+11
2013-1-23,2588.2,2611.4,2576.36,2607.46,75739440,72758927360
2013-1-24,2606.42,2663.39,2564.21,2582.76,111277168,1.10E+11
2013-1-25,2580.87,2591.51,2567.11,2571.66,58487360,60689375232
2013-1-28,2577.27,2651.97,2577.27,2651.86,91274792,98173272064
2013-1-29,2655.37,2685.53,2646.14,2675.87,101040232,1.09E+11
2013-1-30,2678.42,2689.67,2662.06,2688.71,99874992,1.01E+11
2013-1-31,2690.95,2696.87,2671.33,2686.87,96740104,94476820480
2013-2-1,2677.18,2744.32,2671.27,2743.32,103879512,1.11E+11
2013-2-4,2753.68,2768.5,2731.08,2748.03,127939176,1.36E+11
2013-2-5,2727.92,2779.95,2725.36,2771.67,116130816,1.13E+11
2013-2-6,2771.9,2787.46,2765.74,2775.84,82779272,88989581312
2013-2-7,2771.53,2775.97,2722.87,2759.87,89978144,95978594304
2013-2-8,2755.64,2791.3,2747.95,2771.73,77429648,82903629824
2013-2-18,2784.07,2787.74,2731.51,2737.47,76438224,81001365504
2013-2-19,2735.05,2740.74,2674.34,2685.61,80626432,82460811264
2013-2-20,2686.09,2703.1,2665.23,2702.63,70019376,73636364288
2013-2-21,2675.74,2675.74,2584.76,2610.55,100657984,1.04E+11
2013-2-22,2607.64,2618.48,2591.14,2596.6,60204852,65899102208
2013-2-25,2607.14,2628.7,2590.79,2604.96,53161944,55614492672
2013-2-26,2587.37,2631.09,2564.66,2567.59,80003064,83373957120
2013-2-27,2576.05,2615.25,2569.37,2594.67,63226744,64612274176
2013-2-28,2611.93,2673.71,2594,2673.33,86922592,92235374592
2013-3-1,2671.84,2680.85,2627,2668.84,73343752,80342745088
2013-3-4,2619.41,2619.57,2528.68,2545.72,110619104,1.13E+11
2013-3-5,2547.88,2623.16,2541.77,2622.81,89661152,92357132288
2013-3-6,2634.87,2658.13,2620.42,2650.2,95829648,95048892416
2013-3-7,2639.78,2658.97,2592.87,2619.48,94082664,96498098176
2013-3-8,2622.67,2632.62,2601.96,2606.92,59429556,63054594048
2013-3-11,2600.28,2611.64,2574.16,2592.37,50946436,52460900352
2013-3-12,2590.38,2619.51,2530.25,2555.61,71935144,71675125760
2013-3-13,2551.73,2556.77,2515.06,2527.49,56430460,56003723264
2013-3-14,2517.75,2546.7,2514.46,2534.27,47605756,49929777152
2013-3-15,2533.72,2600.09,2504.46,2539.87,81372184,82749874176
2013-3-18,2526.08,2544.62,2499.83,2502.49,59812776,63093555200
2013-3-19,2507.39,2532.07,2491.85,2525.1,54536476,55601012736
2013-3-20,2526.97,2610.16,2526.83,2610.16,90700624,91271020544
2013-3-21,2611.58,2626.54,2598.51,2614.99,69552752,71642669056
2013-3-22,2612.26,2625.53,2603.34,2618.31,55647140,55882141696
2013-3-25,2628.4,2641.61,2607.61,2613.1,56261400,58004930560
2013-3-26,2601.96,2607.36,2554.97,2575.05,63962960,65306570752
2013-3-27,2575.73,2611.93,2566.34,2583.53,56906516,58652246016
2013-3-28,2535.99,2535.99,2495.08,2499.3,87578408,84725899264
2013-3-29,2502.78,2509.11,2482.49,2495.08,52402136,52055539712
2013-4-1,2486.42,2507.82,2483.73,2493.18,47346024,47159820288
2013-4-2,2495.84,2524.46,2475,2486.38,55684152,55637393408
2013-4-3,2493.87,2507.13,2474.92,2483.55,45564220,45156720640
2013-4-8,2443.24,2473.31,2429.5,2472.3,53296772,55249297408
2013-4-9,2477.29,2505.29,2477.29,2489.42,52389824,54947037184
2013-4-10,2487.98,2495.57,2466.18,2485.31,47504912,51963822080
2013-4-11,2502.5,2508.59,2476.39,2477.87,42989960,43039948800
2013-4-12,2476.32,2489.12,2460.17,2462.11,39917280,40428048384
2013-4-15,2453.97,2461.66,2430.14,2436.82,46539736,44084842496
2013-4-16,2419.51,2461.05,2416.62,2459.59,55280612,53783257088
2013-4-17,2457.87,2465.2,2437.34,2458.47,44692164,46800830464
2013-4-18,2440.71,2478.4,2434.73,2464.85,42860708,46270136320
2013-4-19,2469.95,2542.45,2469.32,2533.83,75520880,76723675136
2013-4-22,2525.11,2539.05,2518.26,2530.66,62511884,63027023872
2013-4-23,2532.2,2532.2,2448.2,2449.47,60653984,61576159232
2013-4-24,2452.78,2511.2,2446.59,2495.58,63050916,62189420544
2013-4-25,2486.86,2505.48,2456.57,2467.87,60557928,59891286016
2013-4-26,2477.72,2488.59,2439.8,2447.31,47123376,46351986688
2013-5-2,2434.6,2453.75,2423.08,2449.63,47016088,47200448512
2013-5-3,2457.54,2521.12,2457.54,2492.9,62330092,63267041280
2013-5-6,2502.98,2533.86,2500.46,2525.98,60418780,61767950336
2013-5-7,2519.36,2539.3,2507.76,2529.93,54490644,59244949504
2013-5-8,2542.27,2562.01,2531.25,2542.8,59554296,60309147648
2013-5-9,2542.37,2543.3,2507.79,2527.79,60240144,64438292480
2013-5-10,2519.52,2546.98,2515.15,2540.84,48816728,50896691200
2013-5-13,2542.4,2547.6,2516.73,2530.77,54092148,55155093504
2013-5-14,2526,2526.14,2479.87,2493.34,54880064,56144572416
2013-5-15,2493.97,2507.42,2491.92,2506.92,44189660,47578587136
2013-5-16,2501.12,2553.06,2487.76,2552.71,70796184,76830433280
2013-5-17,2550.45,2598.71,2547.78,2592.05,81850800,83599368192
2013-5-20,2597.14,2627.62,2590.05,2609.61,86337800,94059413504
2013-5-21,2607.38,2617.39,2594.25,2614.85,71505992,75837816832
2013-5-22,2613.4,2630.07,2603.75,2618.03,74191816,78224130048
2013-5-23,2604.92,2624.08,2579.35,2582.85,84825368,81359904768
2013-5-24,2591.41,2608.35,2572.87,2597.23,60739668,62831235072
2013-5-27,2593.52,2611.97,2589.74,2599.59,64195080,66701651968
2013-5-28,2600.62,2644.36,2585.89,2644.36,84196112,86756737024
2013-5-29,2648.92,2661.23,2640.87,2642.56,79277712,81953849344
2013-5-30,2633.96,2647.43,2623.58,2634.32,70146368,71045062656
2013-5-31,2638.71,2645.57,2604.75,2606.42,62528532,65904435200
2013-6-3,2605.97,2625.93,2596.05,2602.62,59774468,63008706560
2013-6-4,2600.5,2600.5,2556.06,2565.66,66315752,63139422208
2013-6-5,2565.33,2570.03,2545.18,2560.54,45637192,47367057408
2013-6-6,2552.82,2557.67,2525.31,2527.84,52496528,54448111616
2013-6-7,2526.9,2538.88,2475.68,2484.15,61030896,61366173696
2013-6-13,2448.72,2448.72,2375.2,2399.93,69730064,64081596416
2013-6-14,2404.41,2420.36,2396.49,2416.77,55964536,53686779904
2013-6-17,2422.76,2427.53,2394.38,2403.84,50395712,51983757312
2013-6-18,2413.09,2424.2,2393.32,2418.75,48630380,48792088576
2013-6-19,2408.28,2408.28,2366.35,2400.77,54346260,52979990528
2013-6-20,2386.1,2386.1,2320.23,2321.47,55201020,52171735040
2013-6-21,2283.14,2332.84,2269.57,2317.38,58705800,53486133248
2013-6-24,2308.07,2308.07,2164.32,2171.21,86597256,73731932160
2013-6-25,2146.05,2169.21,2023.17,2165.41,107554880,87090397184
2013-6-26,2170.33,2181.02,2131.86,2168.3,79256424,67298430976
2013-6-27,2172.85,2200.21,2153.17,2160.74,75406752,62927081472
2013-6-28,2149.03,2227.46,2139.37,2200.63,79451328,64106049536
2013-7-1,2187.09,2213.97,2166.35,2213.32,57726228,51874734080
2013-7-2,2211.8,2226.11,2191.8,2221.98,61838848,59632902144
2013-7-3,2211.04,2211.04,2169.13,2203.83,65836024,59536760832
2013-7-4,2187.17,2245.9,2176.08,2221.98,72581144,67189379072
2013-7-5,2227.35,2252.03,2225.05,2226.85,61821776,58424401920
2013-7-8,2194.41,2205.21,2162.18,2163.62,54782492,49288253440
2013-7-9,2160.7,2174.79,2149.79,2162.66,41494432,37246189568
2013-7-10,2163.1,2224.13,2157.47,2224.07,61149780,54373756928
2013-7-11,2232.15,2351.22,2232.15,2326.68,125793192,1.11E+11
2013-7-12,2319.02,2331.99,2274.07,2275.37,89733080,82064556032
2013-7-15,2289.76,2336.04,2274.66,2307.3,74757888,71796187136
2013-7-16,2300.83,2317.85,2281.93,2317.85,65624156,62085632000
2013-7-17,2311.43,2326.92,2281.61,2282.84,67655248,63229063168
2013-7-18,2272.95,2282.43,2241.92,2245.33,57144292,51937234944
2013-7-19,2248.12,2257.91,2188.75,2190.48,70535280,66179072000
2013-7-22,2170.09,2203.06,2159.81,2202.18,53283496,48872947712
2013-7-23,2211.59,2276.74,2206.76,2265.84,74809728,69255421952
2013-7-24,2253.37,2265.58,2217.18,2249.14,69592304,69279825920
2013-7-25,2255.22,2268.84,2227.85,2237.67,65774316,60558364672
2013-7-26,2226.42,2238.41,2209.81,2224.01,48941096,45636071424
2013-7-29,2205.08,2205.08,2169.02,2175.97,54600924,49624612864
2013-7-30,2184.01,2221.59,2162.98,2189.38,55193624,50907226112
2013-7-31,2211.75,2235.37,2187.21,2193.02,48327056,46723493888
2013-8-1,2206,2245.56,2200.62,2245.36,62603996,58944765952
2013-8-2,2263.5,2274.71,2244.25,2247.26,60890892,58460000256
2013-8-5,2249.98,2278.33,2243.22,2278.33,55342152,53623070720
2013-8-6,2270.66,2302.48,2256.72,2293.63,73746896,68993572864
2013-8-7,2292.37,2313.87,2276.86,2280.62,73048696,69560483840
2013-8-8,2277.25,2297.62,2267.07,2276.78,53098432,52710277120
2013-8-9,2288.51,2301.59,2258.33,2286.01,64600016,62663979008
2013-8-12,2296.22,2352.88,2293.17,2352.79,97863216,94038908928
2013-8-13,2352.87,2360.83,2340.73,2359.07,78393632,71178518528
2013-8-14,2362.62,2386.6,2340.83,2349.08,75942128,71338221568
2013-8-15,2348.84,2362.09,2319.78,2321.58,61951852,59411202048
2013-8-16,2314.26,2423.08,2295.02,2304.13,120369560,1.04E+11
2013-8-19,2286.2,2340.18,2284.08,2331.42,72483224,67064926208
2013-8-20,2325.86,2353.4,2303.66,2312.47,73086344,67589705728
2013-8-21,2320.58,2321.63,2291.05,2308.59,55007384,50886496256
2013-8-22,2302.66,2329.13,2297.02,2303.92,55338104,51686309888
2013-8-23,2314.87,2321.04,2251.91,2286.92,68967136,65459847168
2013-8-26,2294.76,2336.37,2288.5,2335.62,70371040,66541010944
2013-8-27,2332.8,2345.11,2322.46,2340.87,65990332,62575378432
2013-8-28,2326.1,2345.36,2307.04,2328.06,89256176,80965566464
2013-8-29,2338.56,2342.32,2308.14,2318.31,66085416,59719880704
2013-8-30,2315.9,2334.4,2303.61,2313.9,87654512,76695994368
2013-9-2,2319.96,2329.87,2297.45,2320.34,79510248,73575866368
2013-9-3,2326.23,2354.86,2321.3,2354.5,80554008,72663982080
2013-9-4,2352.54,2360.65,2345.43,2350.7,78725760,68509011968
2013-9-5,2350.92,2351.22,2336.75,2341.74,62951384,59606065152
2013-9-6,2336.77,2361.17,2335.92,2357.78,73340112,63916892160
2013-9-9,2374.26,2449.25,2372.68,2440.61,149889632,1.27E+11
2013-9-10,2446.45,2475.2,2435.83,2474.88,154856000,1.31E+11
2013-9-11,2483.79,2504.47,2471.62,2482.88,166914976,1.43E+11
2013-9-12,2480.47,2527.37,2469.72,2507.46,145173168,1.26E+11
2013-9-13,2502.54,2515.78,2481.45,2488.89,110775048,98275008512
2013-9-16,2501.08,2503.68,2467.12,2478.38,105383280,97043841024
